# Зависимость тока от текущего времени импульса R=0.25 см, l=12 см
#№	  t,c	       I,A
10	2.00E-06	1.70E+01
20	4.00E-06	2.65E+01
30	1.40E-05	8.46E+01
40	2.40E-05	1.52E+02
50	3.40E-05	2.20E+02
60	4.40E-05	2.85E+02
70	5.40E-05	3.46E+02
80	6.40E-05	4.02E+02
90	7.40E-05	4.53E+02
100	8.40E-05	4.99E+02
110	9.40E-05	5.40E+02
120	1.04E-04	5.75E+02
130	1.14E-04	6.05E+02
140	1.24E-04	6.30E+02
150	1.34E-04	6.50E+02
160	1.44E-04	6.65E+02
170	1.54E-04	6.75E+02
180	1.64E-04	6.82E+02
190	1.74E-04	6.84E+02
200	1.84E-04	6.82E+02
210	1.94E-04	6.76E+02
220	2.04E-04	6.68E+02
230	2.14E-04	6.56E+02
240	2.24E-04	6.42E+02
250	2.34E-04	6.26E+02
260	2.44E-04	6.07E+02
270	2.54E-04	5.87E+02
280	2.64E-04	5.66E+02
290	2.74E-04	5.43E+02
300	2.84E-04	5.20E+02
310	2.94E-04	4.95E+02
320	3.04E-04	4.71E+02
330	3.14E-04	4.46E+02
340	3.24E-04	4.22E+02
350	3.34E-04	3.97E+02
360	3.44E-04	3.73E+02
370	3.54E-04	3.50E+02
380	3.64E-04	3.27E+02
390	3.74E-04	3.05E+02
400	3.84E-04	2.84E+02
410	3.94E-04	2.63E+02
420	4.04E-04	2.44E+02
430	4.14E-04	2.26E+02
440	4.24E-04	2.09E+02
450	4.34E-04	1.94E+02
460	4.44E-04	1.79E+02
470	4.54E-04	1.65E+02
480	4.64E-04	1.53E+02
490	4.74E-04	1.41E+02
500	4.84E-04	1.31E+02
