t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
1.399999999999999979e-05,5.400000000000000000e+03,7.144638061523437278e-01,1.308154627685547133e+00,2.198932467041015570e+01,4.671886400418612340e+01,2.748665583801269463e+00
1.700689655172413656e-05,5.741666752305589398e+03,7.609909057617186834e-01,2.050520256020518683e+00,3.236914400457622776e+01,2.980487413759849957e+01,4.046143000572028470e+00
2.001379310344827503e-05,6.138256308418614026e+03,8.166488647460937722e-01,3.191273917285597062e+00,6.766290426133780045e+01,1.915081554618502935e+01,8.457863032667225056e+00
2.302068965517241350e-05,6.557819704056053524e+03,8.702255249023437278e-01,4.978322452293934219e+00,1.542732416106507571e+02,1.227632374819889982e+01,1.928415520133134464e+01
2.602758620689654857e-05,7.004176042974673692e+03,9.353164672851561612e-01,6.848189628649469007e+00,2.657471430568144797e+02,8.924329123657809504e+00,3.321839288210180996e+01
2.903448275862069043e-05,7.430964299525901879e+03,9.899002075195313388e-01,9.407488318922084147e+00,9.354392437953670196e+02,6.496473455551466714e+00,1.169299054744208775e+02
3.204137931034482551e-05,7.859605620387001181e+03,1.051483154296875000e+00,1.194505154743010067e+01,1.695122508955462308e+03,5.116386304790489170e+00,2.118903136194327885e+02
3.504827586206896059e-05,8.259688085887910347e+03,1.108198547363281161e+00,1.478730234404558530e+01,4.179168264794159768e+03,4.132971432202928952e+00,5.223960330992699710e+02
3.805517241379310244e-05,8.637564808290233486e+03,1.162950134277343839e+00,1.770791908370073742e+01,7.652451138469108628e+03,3.451308866864068570e+00,9.565563923086385785e+02
4.106206896551723752e-05,8.963389284663728176e+03,1.214529418945312633e+00,2.020712818440433267e+01,1.091805161503529234e+04,3.024452440226323979e+00,1.364756451879411543e+03
4.406896551724137938e-05,9.195050503555752584e+03,1.250314331054687367e+00,2.231632978927595801e+01,1.716905645376834218e+04,2.738599882882922554e+00,2.146132056721042773e+03
4.707586206896551445e-05,9.408162958195833198e+03,1.284387207031250089e+00,2.431196755973395796e+01,2.389900158850719163e+04,2.513803047701853366e+00,2.987375198563398953e+03
5.008275862068964953e-05,9.605438974087383031e+03,1.317486572265625266e+00,2.615603624688980489e+01,3.044774656575819972e+04,2.336573384835976874e+00,3.805968320719774965e+03
5.308965517241379139e-05,9.787080307702362916e+03,1.349444580078124734e+00,2.785084536654886023e+01,3.676993850032468617e+04,2.194385748186032270e+00,4.596242312540585772e+03
5.609655172413792647e-05,9.953725800126610920e+03,1.380059814453125089e+00,2.940301465087656396e+01,4.283315162010154745e+04,2.078545308124241320e+00,5.354143952512693431e+03
5.910344827586206832e-05,1.009019214643886698e+04,1.405068969726562367e+00,3.083314003426758276e+01,5.142434556172511657e+04,1.982136690566214776e+00,6.428043195215639571e+03
6.211034482758620340e-05,1.021057954443147173e+04,1.427359008789062633e+00,3.216809215977039571e+01,6.082226562922055018e+04,1.899879478202913363e+00,7.602783203652568773e+03
6.511724137931033170e-05,1.032013152488420747e+04,1.448171997070312411e+00,3.338371463127690220e+01,6.962026963933298248e+04,1.830697956243289015e+00,8.702533704916622810e+03
6.812413793103447356e-05,1.042065132400528819e+04,1.467810058593750133e+00,3.449967280642506040e+01,7.791099489101438667e+04,1.771480514908128079e+00,9.738874361376798333e+03
7.113103448275861541e-05,1.051362868788059131e+04,1.486407470703124734e+00,3.553248161695514540e+01,8.577052056885362254e+04,1.719989580410424823e+00,1.072131507110670282e+04
7.413793103448275727e-05,1.060050635492713445e+04,1.504098510742187145e+00,3.650090486877142126e+01,9.322935902025451651e+04,1.674355700687726323e+00,1.165366987753181456e+04
7.714482758620688557e-05,1.068235002942469691e+04,1.520950317382812278e+00,3.742188495752463950e+01,1.002073510072722274e+05,1.633148576472200464e+00,1.252591887590902843e+04
8.015172413793102742e-05,1.075973927929334241e+04,1.537197875976562544e+00,3.829236426070156085e+01,1.068998552240985882e+05,1.596023106100268318e+00,1.336248190301232353e+04
8.315862068965516928e-05,1.083322095405205982e+04,1.552941894531249867e+00,3.911851069816118809e+01,1.133431916925018013e+05,1.562316587634319465e+00,1.416789896156272516e+04
8.616551724137929758e-05,1.090323286859683503e+04,1.568249511718749822e+00,3.990527857480110185e+01,1.195657736045332276e+05,1.531514133718647308e+00,1.494572170056665345e+04
8.917241379310343944e-05,1.097012831841674233e+04,1.583120727539062411e+00,4.065673078874566215e+01,1.255872717641550844e+05,1.503207389321263854e+00,1.569840897051938555e+04
9.217931034482758129e-05,1.103057505520980339e+04,1.596481323242187056e+00,4.138287809855075494e+01,1.326135014758378093e+05,1.476830538507859281e+00,1.657668768447972616e+04
9.518620689655172315e-05,1.108535553511176113e+04,1.608499145507812367e+00,4.208312738289311028e+01,1.403930200542747916e+05,1.452256568083184041e+00,1.754912750678434895e+04
9.819310344827585145e-05,1.113595571043752898e+04,1.619744873046874645e+00,4.273024238774615924e+01,1.476397755726181495e+05,1.430263315445503558e+00,1.845497194657726868e+04
1.011999999999999933e-04,1.118294050635896565e+04,1.630285644531249689e+00,4.333141761794179558e+01,1.544201947742569319e+05,1.410420002552197571e+00,1.930252434678211648e+04
1.042068965517241352e-04,1.122675314504131711e+04,1.640222167968749867e+00,4.389224261101119140e+01,1.607895138693023182e+05,1.392398622438030698e+00,2.009868923366278977e+04
1.072137931034482635e-04,1.126779264502632577e+04,1.649621582031249645e+00,4.441778551058680335e+01,1.667969339281356661e+05,1.375924023333427559e+00,2.084961674101695826e+04
1.102206896551724053e-04,1.130635054729049989e+04,1.658551025390624822e+00,4.491172476166850203e+01,1.724791548717519327e+05,1.360791607795232006e+00,2.155989435896899158e+04
1.132275862068965472e-04,1.134265089818145861e+04,1.667010498046874734e+00,4.537693959756730777e+01,1.778602878343722259e+05,1.346840458816756847e+00,2.223253597929652824e+04
1.162344827586206755e-04,1.137686684753887675e+04,1.675033569335937278e+00,4.581561447459792191e+01,1.829609010631619603e+05,1.333944744562419515e+00,2.287011263289524504e+04
1.192413793103448173e-04,1.140913257749422155e+04,1.682687377929687145e+00,4.622939599703246927e+01,1.877997026506885013e+05,1.322005118803864621e+00,2.347496283133606266e+04
1.222482758620689592e-04,1.143955673797544841e+04,1.689938354492187100e+00,4.661970704169701207e+01,1.923849004987430817e+05,1.310936984066108701e+00,2.404811256234288521e+04
1.252551724137930739e-04,1.146822843913995166e+04,1.696820068359374822e+00,4.698764832814785564e+01,1.967276076361275918e+05,1.300671566290681813e+00,2.459095095451594898e+04
1.282620689655172158e-04,1.149520740387724982e+04,1.703332519531249867e+00,4.733397393461510205e+01,2.008327745744418935e+05,1.291155021797025793e+00,2.510409682180523669e+04
1.312689655172413576e-04,1.152055331607657536e+04,1.709509277343749911e+00,4.765940627581102262e+01,2.047083315158608020e+05,1.282338638328909930e+00,2.558854143948260025e+04
1.342758620689654995e-04,1.154430669410995142e+04,1.715316772460937278e+00,4.796448624071809519e+01,2.083544475114333327e+05,1.274182273955131617e+00,2.604430593892916659e+04
1.372827586206896414e-04,1.156649867190862278e+04,1.720755004882812411e+00,4.824959969578604557e+01,2.117729069564201345e+05,1.266652957384544420e+00,2.647161336955251682e+04
1.402896551724137561e-04,1.158715407663083533e+04,1.725857543945312544e+00,4.851501921453261446e+01,2.149676804122710018e+05,1.259723259657717476e+00,2.687096005153387523e+04
1.432965517241378980e-04,1.160629789332367909e+04,1.730624389648437456e+00,4.876105417826686761e+01,2.179401693514819490e+05,1.253367040094211182e+00,2.724252116893524362e+04
1.463034482758620398e-04,1.162392492534182202e+04,1.735021972656249911e+00,4.898765208895348167e+01,2.206849740658071823e+05,1.247569449466820135e+00,2.758562175822589779e+04
1.493103448275861817e-04,1.164001682931585128e+04,1.739050292968749911e+00,4.919455691376472117e+01,2.231978873846487259e+05,1.242322362094241850e+00,2.789973592308109073e+04
1.523172413793103235e-04,1.165466132315403956e+04,1.742709350585937456e+00,4.938290295013796793e+01,2.254891224379149207e+05,1.237584153547965249e+00,2.818614030473936509e+04
1.553241379310344654e-04,1.166794780289963273e+04,1.746066284179687456e+00,4.955378567023380043e+01,2.275752534171179868e+05,1.233316432249876637e+00,2.844690667713974835e+04
1.583310344827585801e-04,1.168012425535420880e+04,1.749154663085937367e+00,4.971041217578133597e+01,2.294916024927636900e+05,1.229430525161949506e+00,2.868645031159546124e+04
1.613379310344827220e-04,1.169118318567685492e+04,1.751940917968749956e+00,4.985270724275021337e+01,2.312332715405818890e+05,1.225921349661015292e+00,2.890415894257273612e+04
1.643448275862068638e-04,1.170110417904641145e+04,1.754458618164062456e+00,4.998036478604215915e+01,2.327996646993595059e+05,1.222790157873263839e+00,2.909995808741993824e+04
1.673517241379310057e-04,1.170975583404042118e+04,1.756674194335937189e+00,5.009168721207337427e+01,2.341692451894449769e+05,1.220072661728140329e+00,2.927115564868062211e+04
1.703586206896551475e-04,1.171709841728822903e+04,1.758554077148437367e+00,5.018617801997147865e+01,2.353328779537869850e+05,1.217775502309959457e+00,2.941660974422337313e+04
1.733655172413792894e-04,1.172314011990310610e+04,1.760098266601562544e+00,5.026393863549724017e+01,2.362910222321384645e+05,1.215891547824845764e+00,2.953637777901730806e+04
1.763724137931034313e-04,1.172791905681049502e+04,1.761306762695312278e+00,5.032546369219781468e+01,2.370483096220573643e+05,1.214405067801944904e+00,2.963103870275717054e+04
1.793793103448275460e-04,1.173148219007632724e+04,1.762213134765624911e+00,5.037133440450755728e+01,2.376137529963825364e+05,1.213299168461552391e+00,2.970171912454781705e+04
1.823862068965516879e-04,1.173384178488058024e+04,1.762817382812500000e+00,5.040170889499285067e+01,2.379887275123632280e+05,1.212567976110018764e+00,2.974859093904540350e+04
1.853931034482758297e-04,1.173501001950854334e+04,1.763119506835937322e+00,5.041674503494895987e+01,2.381746941718923626e+05,1.212206343446457391e+00,2.977183677148654533e+04
1.883999999999999716e-04,1.173492622479915190e+04,1.763119506835937322e+00,5.041564688451782672e+01,2.381633335149329505e+05,1.212232747648345654e+00,2.977041668936661881e+04
1.914068965517241134e-04,1.173366617199376924e+04,1.762783813476562544e+00,5.039943789754524062e+01,2.379618564801366301e+05,1.212622614393572551e+00,2.974523206001707877e+04
1.944137931034482553e-04,1.173130988431338483e+04,1.762179565429687234e+00,5.036910682062386257e+01,2.375873383524148958e+05,1.213352826861400446e+00,2.969841729405186197e+04
1.974206896551723700e-04,1.172806621750572776e+04,1.761340332031249734e+00,5.032736165594643296e+01,2.370713055095960735e+05,1.214359269716788425e+00,2.963391318869950919e+04
2.004275862068965119e-04,1.172398873603467291e+04,1.760299682617187278e+00,5.027487556459342244e+01,2.364242622238762560e+05,1.215627039569024737e+00,2.955303277798453200e+04
2.034344827586206537e-04,1.171906828181216770e+04,1.759057617187499645e+00,5.021153056920572766e+01,2.356451914487515460e+05,1.217160629331012434e+00,2.945564893109394325e+04
2.064413793103447956e-04,1.171320057949834154e+04,1.757546997070312145e+00,5.013602420401750948e+01,2.347141820575213642e+05,1.218993709963752892e+00,2.933927275719017052e+04
2.094482758620689374e-04,1.170627615590497044e+04,1.755767822265625000e+00,5.004692572577144460e+01,2.336168242757020635e+05,1.221163882915922150e+00,2.920210303446275793e+04
2.124551724137930793e-04,1.169833746433863053e+04,1.753753662109375000e+00,4.994476491745658819e+01,2.323623619568638387e+05,1.223661744094561854e+00,2.904529524460797984e+04
2.154620689655172212e-04,1.168944384712276405e+04,1.751504516601562367e+00,4.983032388927186673e+01,2.309593261484743562e+05,1.226472023001350831e+00,2.886991576855929452e+04
2.184689655172413359e-04,1.167974685358725037e+04,1.749053955078125000e+00,4.970556180747563246e+01,2.294317134572923242e+05,1.229550495455745018e+00,2.867896418216154052e+04
2.214758620689654778e-04,1.166927959261278193e+04,1.746401977539062456e+00,4.957091705697781947e+01,2.277845060252280673e+05,1.232890206106947995e+00,2.847306325315350841e+04
2.244827586206896196e-04,1.165808271259873072e+04,1.743582153320312411e+00,4.942689556147819019e+01,2.260266803928385780e+05,1.236482636690606984e+00,2.825333504910482225e+04
2.274896551724137615e-04,1.164620976003545184e+04,1.740594482421874645e+00,4.927420330265530168e+01,2.241659628283611382e+05,1.240314283153400199e+00,2.802074535354514228e+04
2.304965517241379033e-04,1.163366819569675499e+04,1.737438964843750044e+00,4.911294279442157062e+01,2.222038860915672267e+05,1.244386808648524578e+00,2.777548576144590334e+04
2.335034482758620452e-04,1.162044664787701004e+04,1.734149169921874734e+00,4.894293824552736538e+01,2.201423763357131975e+05,1.248709218083629002e+00,2.751779704196414968e+04
2.365103448275861599e-04,1.160646663848188109e+04,1.730657958984374911e+00,4.876323129229294295e+01,2.179656824609025789e+05,1.253311081477636924e+00,2.724571030761282236e+04
2.395172413793103018e-04,1.159166150891345387e+04,1.726965332031249911e+00,4.857295587776566492e+01,2.156655943312207237e+05,1.258220691799889268e+00,2.695819929140259046e+04
2.425241379310344436e-04,1.157608275152484930e+04,1.723138427734374645e+00,4.837272813630985269e+01,2.132554611998958862e+05,1.263428805898026308e+00,2.665693264998698578e+04
2.455310344827586126e-04,1.155980208297936952e+04,1.719110107421874645e+00,4.816355826764019099e+01,2.107399195869427640e+05,1.268915760078916044e+00,2.634248994836784550e+04
2.485379310344827545e-04,1.154297830994211472e+04,1.714981079101562278e+00,4.794743275952565398e+01,2.081493168718187371e+05,1.274635462837081290e+00,2.601866460897734214e+04
2.515448275862068963e-04,1.152564848232459553e+04,1.710751342773437544e+00,4.772484110828230541e+01,2.054891104648587061e+05,1.280580442554509757e+00,2.568613880810733826e+04
2.545517241379310382e-04,1.150785731119312914e+04,1.706387329101562544e+00,4.749640637619754102e+01,2.027630328219016374e+05,1.286739414835295303e+00,2.534537910273770467e+04
2.575586206896551258e-04,1.148966455021974070e+04,1.701989746093749867e+00,4.726281434481212784e+01,1.999877168462589034e+05,1.293099003825959104e+00,2.499846460578236292e+04
2.605655172413793219e-04,1.147108377125401421e+04,1.697491455078124822e+00,4.702431328798789423e+01,1.971599243408475595e+05,1.299657429827889343e+00,2.464499054260594494e+04
