t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
1.399999999999999979e-05,5.400000000000000000e+03,7.144638061523437278e-01,1.286118871759555082e+00,1.780590042611181900e+01,4.751932304956768860e+01,2.225737553263977375e+00
1.700689655172413656e-05,5.739317691790565732e+03,7.607894897460937278e-01,2.008288045592562465e+00,2.664583890630580143e+01,3.043163966514333652e+01,3.330729863288225179e+00
2.001379310344827503e-05,6.132770579700806593e+03,8.161788940429687278e-01,3.111919370975701593e+00,5.879800480230214532e+01,1.963916504948707953e+01,7.349750600287768165e+00
2.302068965517241350e-05,6.543984912332454769e+03,8.682617187500000222e-01,4.847732325210060367e+00,1.403237480470027378e+02,1.260702820357136211e+01,1.754046850587534223e+01
2.602758620689654857e-05,6.986127687846921617e+03,9.321777343749999556e-01,6.676086695311326480e+00,2.416058663888600790e+02,9.154389530353126858e+00,3.020073329860750988e+01
2.903448275862069043e-05,7.409995708974498484e+03,9.867111206054687278e-01,9.182386523548574431e+00,9.342720172145382094e+02,6.655731382092751502e+00,1.167840021518172762e+02
3.204137931034482551e-05,7.838213611273682545e+03,1.048042297363281250e+00,1.171135292643685943e+01,1.738603905552032757e+03,5.218483170234542889e+00,2.173254881940040946e+02
3.504827586206896059e-05,8.240487103094999839e+03,1.105630493164062589e+00,1.452781454789263371e+01,4.096425421384917172e+03,4.206792284263641157e+00,5.120531776731146465e+02
3.805517241379310244e-05,8.620580271462486053e+03,1.160818481445312633e+00,1.746844108547436036e+01,7.551204399545422348e+03,3.498623480380716799e+00,9.439005499431777935e+02
4.106206896551723752e-05,8.953022471183887319e+03,1.213555908203125089e+00,2.002465634337285039e+01,1.085337895828428373e+04,3.052012334159929452e+00,1.356672369785535466e+03
4.406896551724137938e-05,9.187069622856020942e+03,1.249911499023437456e+00,2.214774326396337756e+01,1.700789554865247919e+04,2.759445845967021249e+00,2.125986943581559899e+03
4.707586206896551445e-05,9.400744213410491284e+03,1.284051513671875089e+00,2.415944591764699823e+01,2.378330064567929367e+04,2.529673004737524877e+00,2.972912580709911708e+03
5.008275862068964953e-05,9.598687410015405476e+03,1.317251586914062633e+00,2.602083457038806458e+01,3.036961237815727509e+04,2.348713988475902958e+00,3.796201547269659386e+03
5.308965517241379139e-05,9.780973456741265181e+03,1.349209594726562100e+00,2.773307633837432462e+01,3.671491955118734040e+04,2.203704248371542995e+00,4.589364943898417550e+03
5.609655172413792647e-05,9.948963718145936582e+03,1.379959106445312500e+00,2.930923040676524494e+01,4.281607274537050398e+04,2.085196277728976089e+00,5.352009093171312998e+03
5.910344827586206832e-05,1.008632107818315308e+04,1.405035400390624911e+00,3.075164702951940399e+01,5.132827203689343150e+04,1.987389426284103200e+00,6.416034004611678938e+03
6.211034482758620340e-05,1.020719253021748409e+04,1.427224731445312589e+00,3.210194143182005888e+01,6.078229489405616914e+04,1.903794456702514681e+00,7.597786861757021143e+03
6.511724137931033170e-05,1.031721050836898212e+04,1.448004150390624911e+00,3.333146035783087058e+01,6.959777438180813624e+04,1.833567971255402052e+00,8.699721797726017030e+03
6.812413793103447356e-05,1.041820658615911634e+04,1.467575073242187500e+00,3.446054998707580808e+01,7.787136014117706509e+04,1.773491664242409227e+00,9.733920017647133136e+03
7.113103448275861541e-05,1.051169716988218897e+04,1.486105346679687411e+00,3.550608878050002204e+01,8.568726440013750107e+04,1.721268104890575801e+00,1.071090805001718763e+04
7.413793103448275727e-05,1.059888802397527979e+04,1.503796386718749822e+00,3.648140771908531121e+01,9.311770534832443809e+04,1.675250544548343656e+00,1.163971316854055476e+04
7.714482758620688557e-05,1.068072397632845059e+04,1.520748901367187100e+00,3.739705001542223783e+01,1.002173653369213862e+05,1.634233131278651108e+00,1.252717066711517327e+04
8.015172413793102742e-05,1.075794252672526454e+04,1.537097167968749956e+00,3.826116290829756394e+01,1.070321441825831134e+05,1.597324636832559763e+00,1.337901802282288918e+04
8.315862068965516928e-05,1.083112278561134008e+04,1.552874755859374734e+00,3.908025113254007010e+01,1.135939445951473463e+05,1.563846095564113359e+00,1.419924307439341828e+04
8.616551724137929758e-05,1.090072526331777408e+04,1.568148803710937234e+00,3.985942494825336979e+01,1.199301505329953507e+05,1.533275962376017043e+00,1.499126881662441883e+04
8.917241379310343944e-05,1.096711825296912502e+04,1.582986450195312367e+00,4.060275078587857678e+01,1.260632973114198248e+05,1.505205853405958472e+00,1.575791216392747810e+04
